system:index,2013_01_01_Onset_Greenness_Decrease,2014_01_01_Onset_Greenness_Decrease,2015_01_01_Onset_Greenness_Decrease,2016_01_01_Onset_Greenness_Decrease,2017_01_01_Onset_Greenness_Decrease,2018_01_01_Onset_Greenness_Decrease,2019_01_01_Onset_Greenness_Decrease,2020_01_01_Onset_Greenness_Decrease,class,.geo
0,233.6794220790058,232.6227477750059,232.61235281967268,236.09623604174197,229.2830177222215,234.66360915598503,227.30718914420808,226.00627202049375,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,237.52320344389227,234.6721501854988,235.45178103397674,238.71765938431756,230.6938130688012,238.2084874313524,231.1241006559971,229.52563052472064,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,238.24316760317583,235.51788990900621,236.6133319549354,239.60954667512473,230.93890157506564,238.6746944429984,230.2425236422182,230.4879610182668,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,238.95189359908812,235.45428681863703,237.17086552851418,240.67090837921634,230.59076667041236,239.5750597685262,231.77472326566547,235.0667050354381,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,239.43690305643568,236.6138468973471,237.95455249198204,240.4785540270482,231.03864854424705,240.60335682007926,231.5321734434436,236.01832345902912,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,239.6904058009128,237.59535249954348,237.9441199914688,241.7653275247965,232.31976269291835,242.49312035130913,233.31039414099146,235.965804924164,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,240.62047199791888,237.82738730504443,239.0340875318103,243.9315692669451,233.75323249418605,244.07725628524148,235.42236411923918,238.40744195947104,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,239.1991205282039,237.76059501998785,238.56516978981918,244.9500696294186,234.9258005207935,244.4633942753616,236.14875737736412,238.49358812000185,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,241.62997656011305,238.55797923330505,239.12962787524413,245.76024279586747,236.43167296595453,245.0754989058526,237.8142483500589,243.44074619249906,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,241.68660684619434,240.90955665348068,243.41025052695898,246.93447940491737,238.39268922195663,244.3110466507833,238.84305921958907,250.38725328527212,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
