system:index,2013_01_01_Onset_Greenness_Increase,2014_01_01_Onset_Greenness_Increase,2015_01_01_Onset_Greenness_Increase,2016_01_01_Onset_Greenness_Increase,2017_01_01_Onset_Greenness_Increase,2018_01_01_Onset_Greenness_Increase,2019_01_01_Onset_Greenness_Increase,2020_01_01_Onset_Greenness_Increase,class,.geo
0,106.62105933735842,113.60605149259679,109.11043076154907,106.5604843858367,103.09535127820331,113.77377910949721,103.7925083049948,101.64596824295533,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,102.50615990516967,111.1997716538481,106.81709504363853,99.6859724205563,100.78440339039285,110.74623663246894,101.2696036165423,96.71604356218246,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,101.25096519232004,109.54231846775986,105.70056322882134,98.11990549579193,100.07227331308167,109.03445919725124,99.72083374085015,94.40012273061137,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,100.46041300855741,108.10155543250583,104.35838601949096,95.07467053471987,99.08809141988398,107.19198446917072,98.2501463833654,92.2224635428035,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,99.56432301641455,107.2207785173481,103.08583537190508,92.68042104181691,97.58393810858556,107.4343109615217,97.66497477763113,90.11659190941822,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,98.93447065451838,107.10809747931185,102.26003157668727,91.6252728451823,97.44503892803627,106.106895450003,97.12226455294702,88.63119308562129,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,98.17754860390218,106.7579081487907,102.24092152001245,91.67348260794208,98.0369865154809,106.46862114013393,97.43276240140156,86.9990078621158,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,98.21633115962555,107.04016523541175,101.44696502827829,92.2684117775503,98.64429292608284,106.03654111490692,98.36169353515407,87.063194271317,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,98.24723870354619,107.5828603975776,101.40317615743282,92.63158212692623,98.7766824417765,105.89545095752212,97.90361719932035,86.70390288554471,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,100.14437055559006,108.11772654391751,101.0446871949851,95.12555045026596,98.36162494701735,106.3577821079108,98.85409356054376,87.46238876363783,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
